,label,tfidf,pmi,augmented,LDA,plain,share,avg_borda,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi
417,report,0.0035067165981947906,0.01155560634981063,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035067165981947906,0.01155560634981063,0.0,0.0,0.0,0.0
418,reported,0.004237064012835664,0.013424443481043496,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004237064012835664,0.013424443481043496,0.0,0.0,0.0,0.0
419,reporters_without_borders,0.01858065561369266,0.08747346072186836,1,1,1,0.13333333333333333,0.26666666666666666,0.0,0.0,0.01858065561369266,0.08747346072186836,0.0,0.0,0.0,0.0,0.0,0.0
420,reporting,0.0040076458421760405,0.0141675131271587,1,0,1,0.8076923076923077,3.1153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0040076458421760405,0.0141675131271587,0.0,0.0
421,required,0.0035950476260706524,0.014525961840438474,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035950476260706524,0.014525961840438474,0.0,0.0,0.0,0.0
422,research,0.006040161933845793,0.02647668067338874,1,1,1,0.2,0.5789473684210527,0.0,0.0,0.0,0.0,0.005513663591126354,0.02058489087163385,0.006040161933845793,0.02647668067338874,0.0,0.0
423,restaurant,0.03146462056904936,0.17743146004872146,1,1,1,0.5714285714285714,2.142857142857143,0.0,0.0,0.03146462056904936,0.17743146004872146,0.007792713564424363,0.02857981633167803,0.010497654740684946,0.03822255967588172,0.0,0.0
424,restaurant_chain,0.018088089851403824,0.05816873825515105,0,1,0,0.6428571428571429,2.2142857142857144,0.0,0.0,0.018088089851403824,0.05816873825515105,0.0,0.0,0.0,0.0,0.0,0.0
425,restaurants,0.008161569404661189,0.02393750113860881,0,1,0,0.5714285714285714,2.5714285714285716,0.008161569404661189,0.02393750113860881,0.0,0.0,0.007815919186172386,0.021035062352496768,0.0,0.0,0.0,0.0
426,restaurants_by_century_of_establishment,0.008821714174244596,0.025978924395884114,0,1,0,0.07142857142857142,0.35714285714285715,0.008821714174244596,0.025978924395884114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
